Hello! Welcome to the world of TQS Quality Control! Minimum height for a real peak: 1000. Minimum area for a real peak: 1000. RT flexibility: 0.4. Ion ratio (IR) flexibility: 0.3. Blank can be this fraction of a sample: 0.3. S/N ratio: 4. Processed on: 2020-02-04 14:44:47. 
"Replicate.Name","Precursor.Ion.Name","Precursor.Mz","Product.Mz","Area","IR.Flag","Retention.Time","Background","RT.min","RT.max","RT.Reference","RT.Flag","blank.Flag","height.min.Flag","overloaded.Flag","area.min.Flag","SN.Flag","all.Flags"
"180212_Poo_TruePoo_Full1","13C Acetyl CoA",810.2043,408.0569,11449321,NA,5.44,73411,NA,NA,NA,NA,"IS.blank.Flag",NA,NA,NA,NA,"IS.blank.Flag, "
"180212_Poo_TruePoo_Full1","Acetoacetyl CoA",850.3228,766.3569,1738,NA,5.14,0,NA,NA,NA,NA,"blank.Flag",NA,NA,NA,NA,"blank.Flag, "
"180212_Poo_TruePoo_Full1","Acetyl CoA",808.149,408.0672,106820,NA,5.44,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Full1","Crotonyl CoA",834.277,408.067,4984,NA,8.25,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Full1","Hydroxybutyryl CoA",852.1043,158.902,2935,NA,5.84,25,NA,NA,NA,NA,NA,"height.min.Flag",NA,NA,NA,"height.min.Flag, "
"180212_Poo_TruePoo_Full1","Malonyl CoA",852.1053,808.0725,11715,NA,2.95,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Full1","Methyl Malonyl CoA",866.1109,822.1345,23765,NA,3.85,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Full1","Propionyl CoA",822.277,408.113,13557,NA,7.16,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Full1","Succinyl CoA",866.1105,158.9068,46,NA,3.49,2,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Poo_TruePoo_Full2","13C Acetyl CoA",810.2043,408.0569,13850185,NA,5.43,58074,NA,NA,NA,NA,"IS.blank.Flag",NA,NA,NA,NA,"IS.blank.Flag, "
"180212_Poo_TruePoo_Full2","Acetoacetyl CoA",850.3228,766.3569,398,NA,5.24,17,NA,NA,NA,NA,"blank.Flag","height.min.Flag",NA,"area.min.Flag",NA,"blank.Flag, height.min.Flag, area.min.Flag, "
"180212_Poo_TruePoo_Full2","Acetyl CoA",808.149,408.0672,112026,NA,5.43,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"180212_Poo_TruePoo_Full2","Crotonyl CoA",834.277,408.067,1968,NA,8.26,103,NA,NA,NA,NA,NA,"height.min.Flag",NA,NA,NA,"height.min.Flag, "
