Sample.Name,Notes,,,,Fraction,Sample.Group,Treatment.Group,Bio.Normalization,Blanks
180205_Poo_Sept29QC_1,,ZIC pHILIC_85 to 15_ACN,1:04,2,HILIC,,1,1,
180205_Poo_TruePoo_Full1,,ZIC pHILIC_85 to 15_ACN,1:06,2,HILIC,Poo,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180205_Poo_TruePoo_Half1,,ZIC pHILIC_85 to 15_ACN,1:05,2,HILIC,Poo,1,0.5,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180205_Blk_MQBlk_1,,ZIC pHILIC_85 to 15_ACN,1:10,2,HILIC,,1,1,
180205_Smp_L2C1DCMless20m_A,,ZIC pHILIC_85 to 15_ACN,1:12,2,HILIC,L2C1DCMless20m,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180205_Smp_L1C33DCMplus10m_A,,ZIC pHILIC_85 to 15_ACN,1:13,2,HILIC,L1C33DCMplus10m,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180205_Smp_L2C2DCMplus20m_A,,ZIC pHILIC_85 to 15_ACN,1:14,2,HILIC,L2C2DCMplus20m,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180205_Smp_L2C2DCMplus10m_A,,ZIC pHILIC_85 to 15_ACN,1:15,2,HILIC,L2C2DCMplus10m,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180205_Smp_L1C32DCMless10m_A,,ZIC pHILIC_85 to 15_ACN,1:16,2,HILIC,L1C32DCMless10m,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180205_Blk_SWBlk_1,,ZIC pHILIC_85 to 15_ACN,1:11,2,HILIC,,1,1,
180205_Smp_L1C32DCMless20m_A,,ZIC pHILIC_85 to 15_ACN,1:17,2,HILIC,L1C32DCMless20m,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180205_Smp_L2C2DCM_A,,ZIC pHILIC_85 to 15_ACN,1:18,2,HILIC,L2C2DCM,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180205_Smp_L1C33DCM_A,,ZIC pHILIC_85 to 15_ACN,1:19,2,HILIC,L1C33DCM,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180205_Smp_L1C33DCMplus20m_A,,ZIC pHILIC_85 to 15_ACN,1:20,2,HILIC,L1C33DCMplus20m,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
180205_Smp_L2C1DCMless10m_A,,ZIC pHILIC_85 to 15_ACN,1:21,2,HILIC,L2C1DCMless10m,1,1,180205_Blk_SWBlk_1;180205_Blk_SWBlk_2;180205_Blk_SWBlk_3
