"Description","Value","Replicate.Name","Area.Value","Area.with.QC","Mz.Value","RT.Value","SN.Value","Alignment.ID","Metabolite.name","Run.Type","SN.Flag","Area.Min.Flag","RT.Flag","Blank.Flag","all.Flags"
"Hello! Welcome to the world of MSDIAL QE Quality Control! ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minimum area for a real peak: ",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RT flexibility: ",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blank can be this fraction of a sample: ",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S/N ratio: ",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Processed on: ",1575678334.44824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"180920_Blk_SWBlk_1",0,NA,808.119,5.483,NA,3793,"Acetyl CoA","blk",NA,"Area.Min.Flag",NA,"Blank.Flag","Area.Min.Flag, Blank.Flag"
NA,NA,"180920_Blk_SWBlk_2",799,NA,808.119,5.18,NA,3793,"Acetyl CoA","blk",NA,"Area.Min.Flag",NA,NA,"Area.Min.Flag, "
NA,NA,"180920_Blk_SWBlk_3",0,NA,808.119,5.483,NA,3793,"Acetyl CoA","blk",NA,"Area.Min.Flag",NA,"Blank.Flag","Area.Min.Flag, Blank.Flag"
NA,NA,"180920_Poo_Day1and2Poo_Full1",3712,3712,808.119,5.48,NA,3793,"Acetyl CoA","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_Day1and2Poo_Full2",0,NA,808.119,5.483,NA,3793,"Acetyl CoA","poo",NA,"Area.Min.Flag",NA,NA,"Area.Min.Flag, "
NA,NA,"180920_Poo_Day1and2Poo_Full3",5113,5113,808.119,5.483,NA,3793,"Acetyl CoA","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_Day1and2Poo_Full4",4837,4837,808.119,5.484,NA,3793,"Acetyl CoA","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_Day1and2Poo_Full5",5945,5945,808.119,5.49,NA,3793,"Acetyl CoA","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_Day1and2Poo_Half1",2481,2481,808.119,5.495,NA,3793,"Acetyl CoA","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_Day1and2Poo_Half2",0,NA,808.119,5.483,NA,3793,"Acetyl CoA","poo",NA,"Area.Min.Flag",NA,NA,"Area.Min.Flag, "
NA,NA,"180920_Poo_Day1and2Poo_Half3",3401,3401,808.119,5.488,NA,3793,"Acetyl CoA","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_Day1and2Poo_Half4",4478,4478,808.119,5.493,NA,3793,"Acetyl CoA","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_Day1and2Poo_Half5",3201,3201,808.119,5.485,NA,3793,"Acetyl CoA","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_Day1Poo_DDAneg20",2755,2755,808.119,5.505,NA,3793,"Acetyl CoA","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_Day1Poo_DDAneg35",4083,4083,808.119,5.495,NA,3793,"Acetyl CoA","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_Day1Poo_DDAneg50",2314,2314,808.119,5.484,NA,3793,"Acetyl CoA","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_MesoScopeQC_1",10853,10853,808.119,5.482,NA,3793,"Acetyl CoA","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_MesoScopeQC_2",686,NA,808.119,5.526,NA,3793,"Acetyl CoA","poo",NA,"Area.Min.Flag",NA,NA,"Area.Min.Flag, "
NA,NA,"180920_Poo_MesoScopeQC_3",13800,13800,808.119,5.493,NA,3793,"Acetyl CoA","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_MesoScopeQC_4",10213,10213,808.119,5.49,NA,3793,"Acetyl CoA","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Poo_MesoScopeQC_5",12572,12572,808.119,5.49,NA,3793,"Acetyl CoA","poo",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS4C1DCM_A",16680,16680,808.119,5.484,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS4C1DCM_B",4378,4378,808.119,5.486,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS4C1DCM_C",14011,14011,808.119,5.478,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS4C115m_A",7965,7965,808.119,5.489,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS4C115m_B",18438,18438,808.119,5.488,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS4C115m_C",9528,9528,808.119,5.494,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS4C1175m_A",0,NA,808.119,5.483,NA,3793,"Acetyl CoA","smp",NA,"Area.Min.Flag",NA,NA,"Area.Min.Flag, "
NA,NA,"180920_Smp_MS4C1175m_B",1520,1520,808.119,5.493,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS4C1175m_C",516,NA,808.119,5.028,NA,3793,"Acetyl CoA","smp",NA,"Area.Min.Flag",NA,NA,"Area.Min.Flag, "
NA,NA,"180920_Smp_MS5C1DCM_A",14203,14203,808.119,5.481,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS5C1DCM_B",10098,10098,808.119,5.484,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS5C1DCM_C",16547,16547,808.119,5.489,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS5C115m_A",14230,14230,808.119,5.482,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS5C115m_B",3897,3897,808.119,5.502,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS5C115m_C",22571,22571,808.119,5.487,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
NA,NA,"180920_Smp_MS5C1175m_A",826,NA,808.119,5.499,NA,3793,"Acetyl CoA","smp",NA,"Area.Min.Flag",NA,NA,"Area.Min.Flag, "
NA,NA,"180920_Smp_MS5C1175m_B",5395,5395,808.119,5.485,NA,3793,"Acetyl CoA","smp",NA,NA,NA,NA,NA
