"Replicate.Name","Metabolite.name","Area.with.QC","umol.in.vial_IS","Conc..uM","RF","RF.max","RF.min","RF.ave","RF.diff","umol.in.vial.ave","umol.in.vial.max","umol.in.vial.min","nmol.in.Enviro","Emperical.Formula","C","N","nmol.C.ave","nmol.N.ave"
"180920_Std_H2OinMatrix","Acetyl CoA",NA,NA,4,NA,6276128,4470937,5373532.5,1.40376122499601,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Std_4uMStdMix4InMatrix","Acetyl CoA",17331960,NA,4,4332990,6276128,4470937,5373532.5,1.40376122499601,4.66102791247625,5.60199908231726,3.99070652655559,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Std_4uMStdMix4InMatrix","Acetyl CoA",16943274,NA,4,4235818.5,6276128,4470937,5373532.5,1.40376122499601,4.55649984437612,5.47636882380584,3.90121106516629,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Std_4uMStdMix4InH2O","Acetyl CoA",17883748,NA,4,4470937,6276128,4470937,5373532.5,1.40376122499601,4.80941847359971,5.78034682080925,4.1177564374067,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Std_4uMStdMix4InH2O","Acetyl CoA",25104512,NA,4,6276128,6276128,4470937,5373532.5,1.40376122499601,6.75127516801879,8.114226734081,5.78034682080925,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Smp_MS9C2DCM_C","Acetyl CoA",21978,0.0221604469598202,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00177283575678562,"C23H38N7O17P3S",23,7,0.0407752224060692,0.0124098502974993
"180920_Smp_MS9C2DCM_B","Acetyl CoA",3315,0.014613212724736,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00116905701797888,"C23H38N7O17P3S",23,7,0.0268883114135142,0.00818339912585216
"180920_Smp_MS9C2DCM_A","Acetyl CoA",16366,0.0178421137551948,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00142736910041558,"C23H38N7O17P3S",23,7,0.0328294893095584,0.00999158370290907
"180920_Smp_MS9C2175m_C","Acetyl CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Smp_MS9C2175m_B","Acetyl CoA",6569,0.00754514784337587,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00060361182747007,"C23H38N7O17P3S",23,7,0.0138830720318116,0.00422528279229049
"180920_Smp_MS9C2175m_A","Acetyl CoA",4486,0.00599726607019315,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000479781285615452,"C23H38N7O17P3S",23,7,0.0110349695691554,0.00335846899930816
"180920_Smp_MS9C215m_C","Acetyl CoA",22997,0.0298120687218936,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00238496549775149,"C23H38N7O17P3S",23,7,0.0548542064482842,0.0166947584842604
"180920_Smp_MS9C215m_B","Acetyl CoA",29576,0.0346344273890213,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00277075419112171,"C23H38N7O17P3S",23,7,0.0637273463957993,0.019395279337852
"180920_Smp_MS9C215m_A","Acetyl CoA",23755,0.0275359072345366,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00220287257876292,"C23H38N7O17P3S",23,7,0.0506660693115473,0.0154201080513405
"180920_Smp_MS8C1DCM_C","Acetyl CoA",7805,0.0132758528310905,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00106206822648724,"C23H38N7O17P3S",23,7,0.0244275692092065,0.00743447758541068
"180920_Smp_MS8C1DCM_B","Acetyl CoA",16890,0.0144218576957987,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0011537486156639,"C23H38N7O17P3S",23,7,0.0265362181602696,0.00807624030964727
"180920_Smp_MS8C1DCM_A","Acetyl CoA",13326,0.0189386618157012,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0015150929452561,"C23H38N7O17P3S",23,7,0.0348471377408902,0.0106056506167927
"180920_Smp_MS8C1175m_C","Acetyl CoA",5271,0.00551360265188493,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000441088212150794,"C23H38N7O17P3S",23,7,0.0101450288794683,0.00308761748505556
"180920_Smp_MS8C1175m_B","Acetyl CoA",4819,0.00308436233416912,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00024674898673353,"C23H38N7O17P3S",23,7,0.00567522669487118,0.00172724290713471
"180920_Smp_MS8C1175m_A","Acetyl CoA",2999,0.00365657683932277,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000292526147145822,"C23H38N7O17P3S",23,7,0.0067281013843539,0.00204768303002075
"180920_Smp_MS8C115m_C","Acetyl CoA",21322,0.0276870257158736,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00221496205726989,"C23H38N7O17P3S",23,7,0.0509441273172075,0.0155047344008892
"180920_Smp_MS8C115m_B","Acetyl CoA",1394,0.00692846385916431,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000554277108733145,"C23H38N7O17P3S",23,7,0.0127483735008623,0.00387993976113201
"180920_Smp_MS8C115m_A","Acetyl CoA",15046,0.0189291255469912,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00151433004375929,"C23H38N7O17P3S",23,7,0.0348295910064637,0.010600310306315
"180920_Smp_MS7C1DCM_C","Acetyl CoA",19298,0.0255079061224989,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00204063248979991,"C23H38N7O17P3S",23,7,0.0469345472653979,0.0142844274285994
"180920_Smp_MS7C1DCM_B","Acetyl CoA",16003,0.0178796178724674,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00143036942979739,"C23H38N7O17P3S",23,7,0.0328984968853399,0.0100125860085817
"180920_Smp_MS7C1DCM_A","Acetyl CoA",3344,0.013043736890196,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00104349895121568,"C23H38N7O17P3S",23,7,0.0240004758779607,0.00730449265850978
"180920_Smp_MS7C1175m_C","Acetyl CoA",3918,0.00445887109646064,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000356709687716851,"C23H38N7O17P3S",23,7,0.00820432281748758,0.00249696781401796
"180920_Smp_MS7C1175m_B","Acetyl CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C23H38N7O17P3S",23,7,NA,NA
"180920_Smp_MS7C1175m_A","Acetyl CoA",4809,0.00573429091659224,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000458743273327379,"C23H38N7O17P3S",23,7,0.0105510952865297,0.00321120291329166
"180920_Smp_MS7C115m_C","Acetyl CoA",18871,0.0240388014356276,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00192310411485021,"C23H38N7O17P3S",23,7,0.0442313946415549,0.0134617288039515
"180920_Smp_MS7C115m_B","Acetyl CoA",9015,0.0134873923177968,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00107899138542374,"C23H38N7O17P3S",23,7,0.0248168018647461,0.00755293969796619
"180920_Smp_MS7C115m_A","Acetyl CoA",18471,0.0228364429869365,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00182691543895492,"C23H38N7O17P3S",23,7,0.0420190550959632,0.0127884080726844
"180920_Smp_MS6C3DCM_C","Acetyl CoA",17937,0.0215180371164247,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00172144296931397,"C23H38N7O17P3S",23,7,0.0395931882942214,0.0120501007851978
"180920_Smp_MS6C3DCM_B","Acetyl CoA",2177,0.00703007561287114,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000562406049029691,"C23H38N7O17P3S",23,7,0.0129353391276829,0.00393684234320784
