,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File type,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Injection order,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batch ID,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,180920_Blk_SWBlk_1,180920_Blk_SWBlk_2,180920_Blk_SWBlk_3,180920_Poo_Day1and2Poo_Full1,180920_Poo_Day1and2Poo_Full2,180920_Poo_Day1and2Poo_Full3,180920_Poo_Day1and2Poo_Full4,180920_Poo_Day1and2Poo_Full5,180920_Poo_Day1and2Poo_Half1,180920_Poo_Day1and2Poo_Half2,180920_Poo_Day1and2Poo_Half3,180920_Poo_Day1and2Poo_Half4,180920_Poo_Day1and2Poo_Half5,180920_Poo_Day1Poo_DDAneg20,180920_Poo_Day1Poo_DDAneg35,180920_Poo_Day1Poo_DDAneg50,180920_Poo_MesoScopeQC_1,180920_Poo_MesoScopeQC_2,180920_Poo_MesoScopeQC_3,180920_Poo_MesoScopeQC_4,180920_Poo_MesoScopeQC_5,180920_Smp_MS4C1DCM_A,180920_Smp_MS4C1DCM_B,180920_Smp_MS4C1DCM_C,180920_Smp_MS4C115m_A,180920_Smp_MS4C115m_B,180920_Smp_MS4C115m_C,180920_Smp_MS4C1175m_A,180920_Smp_MS4C1175m_B,180920_Smp_MS4C1175m_C,180920_Smp_MS5C1DCM_A,180920_Smp_MS5C1DCM_B,180920_Smp_MS5C1DCM_C,180920_Smp_MS5C115m_A,180920_Smp_MS5C115m_B,180920_Smp_MS5C115m_C,180920_Smp_MS5C1175m_A,180920_Smp_MS5C1175m_B,180920_Smp_MS5C1175m_C,180920_Smp_MS6C3DCM_A,180920_Smp_MS6C3DCM_B,180920_Smp_MS6C3DCM_C,180920_Smp_MS6C315m_A,180920_Smp_MS6C315m_B,180920_Smp_MS6C315m_C,180920_Smp_MS6C3175m_A,180920_Smp_MS6C3175m_B,180920_Smp_MS6C3175m_C,180920_Smp_MS7C1DCM_A,180920_Smp_MS7C1DCM_B,180920_Smp_MS7C1DCM_C,180920_Smp_MS7C115m_A,180920_Smp_MS7C115m_B,180920_Smp_MS7C115m_C,180920_Smp_MS7C1175m_A,180920_Smp_MS7C1175m_B,180920_Smp_MS7C1175m_C,180920_Smp_MS8C1DCM_A,180920_Smp_MS8C1DCM_B,180920_Smp_MS8C1DCM_C,180920_Smp_MS8C115m_A,180920_Smp_MS8C115m_B,180920_Smp_MS8C115m_C,180920_Smp_MS8C1175m_A,180920_Smp_MS8C1175m_B,180920_Smp_MS8C1175m_C,180920_Smp_MS9C2DCM_A,180920_Smp_MS9C2DCM_B,180920_Smp_MS9C2DCM_C,180920_Smp_MS9C215m_A,180920_Smp_MS9C215m_B,180920_Smp_MS9C215m_C,180920_Smp_MS9C2175m_A,180920_Smp_MS9C2175m_B,180920_Smp_MS9C2175m_C,180920_Smp_MS10C2DCM_A,180920_Smp_MS10C2DCM_B,180920_Smp_MS10C2DCM_C,180920_Smp_MS10C215m_A,180920_Smp_MS10C215m_B,180920_Smp_MS10C215m_C,180920_Smp_MS10C2175m_A,180920_Smp_MS10C2175m_B,180920_Smp_MS10C2175m_C,180920_Smp_MS11C2DCM_A,180920_Smp_MS11C2DCM_B,180920_Smp_MS11C2DCM_C,180920_Smp_MS11C215m_A,180920_Smp_MS11C215m_B,180920_Smp_MS11C215m_C,180920_Smp_MS11C2175m_A,180920_Smp_MS11C2175m_B,180920_Smp_MS11C2175m_C,180920_Smp_MS12C1DCM_A,180920_Smp_MS12C1DCM_B,180920_Smp_MS12C1DCM_C,180920_Smp_MS12C115m_A,180920_Smp_MS12C115m_B,180920_Smp_MS12C115m_C,180920_Smp_MS12C1175m_A,180920_Smp_MS12C1175m_B,180920_Smp_MS12C1175m_C,180920_Smp_MS13C2DCM_A,180920_Smp_MS13C2DCM_B,180920_Smp_MS13C2DCM_C,180920_Smp_MS13C315m_A,180920_Smp_MS13C315m_B,180920_Smp_MS13C315m_C,180920_Smp_MS13C2175m_A,180920_Smp_MS13C2175m_B,180920_Smp_MS13C2175m_C,180920_Smp_MS14C2DCM_A,180920_Smp_MS14C2DCM_B,180920_Smp_MS14C2DCM_C,180920_Smp_MS14C215m_A,180920_Smp_MS14C215m_B,180920_Smp_MS14C215m_C,180920_Smp_MS14C2175m_A,180920_Smp_MS14C2175m_B,180920_Smp_MS14C2175m_C,180920_Std_4uMStdMix4InH2O_1,180920_Std_4uMStdMix4InH2O_2,180920_Std_4uMStdMix4InMatrix_1,180920_Std_4uMStdMix4InMatrix_2,180920_Std_H2OinMatrix_1,180920_Std_H2OinMatrix_2
0,1.457,90.97012,Unknown,[M-H]-,,0.73,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,48.12,180920_Smp_MS14C215m_A,90.97012:54552 91.97347:0 92.97683:0,,220162,127775,126319,34796,45939,133193,83751,91212,113866,23643,68599,184920,98693,151628,267598,141406,60740,11092,53533,111203,92946,49357,24677,222063,6179,161172,138998,52712,74124,95242,110268,24243,64394,238072,65338,222234,70350,137697,143450,92284,48504,148387,88488,205819,50400,127983,167325,90628,166766,86396,61354,113799,35197,117073,141852,12750,51752,83837,98399,33690,104325,20474,149594,74679,86810,124603,119085,9757,145566,97123,180074,42129,76516,52096,26738,54276,271350,88942,23097,83519,112347,59770,106161,16432,127336,31361,88935,134523,6195,112034,128743,50917,91639,5676,123399,216811,102936,134744,104004,80125,63322,95472,195569,222392,145302,189013,41386,215334,10378,62943,89192,10817,135619,121368,155231,126667,99882,113183,69498,87266,38385,60846,94816,134146,111935,221064
1,1.396,92.69666,Unknown,[M-H]-,similar chromatogram in higher mz_501; similar chromatogram in higher mz_1244; similar chromatogram in higher mz_1229; similar chromatogram in higher mz_2799; similar chromatogram in higher mz_2287; similar chromatogram in higher mz_2995; similar chromatogram in higher mz_2594; similar chromatogram in higher mz_2030; similar chromatogram in higher mz_3214; similar chromatogram in higher mz_2614; similar chromatogram in higher mz_3227; similar chromatogram in higher mz_150; similar chromatogram in higher mz_3794; similar chromatogram in higher mz_2311; similar chromatogram in higher mz_152; similar chromatogram in higher mz_3071; similar chromatogram in higher mz_1107; similar chromatogram in higher mz_3107; similar chromatogram in higher mz_3299; similar chromatogram in higher mz_3324; similar chromatogram in higher mz_3881; similar chromatogram in higher mz_3099; similar chromatogram in higher mz_222; similar chromatogram in higher mz_3693; similar chromatogram in higher mz_2318; similar chromatogram in higher mz_3838; similar chromatogram in higher mz_3515; similar chromatogram in higher mz_3463; similar chromatogram in higher mz_3841; similar chromatogram in higher mz_2; similar chromatogram in higher mz_3; similar chromatogram in higher mz_30; similar chromatogram in higher mz_31; similar chromatogram in higher mz_58; similar chromatogram in higher mz_162; similar chromatogram in higher mz_484; similar chromatogram in higher mz_727; similar chromatogram in higher mz_759; similar chromatogram in higher mz_1251; similar chromatogram in higher mz_1269; similar chromatogram in higher mz_1663; similar chromatogram in higher mz_1664; similar chromatogram in higher mz_2581; similar chromatogram in higher mz_2600; similar chromatogram in higher mz_2777; similar chromatogram in higher mz_2813; similar chromatogram in higher mz_2814; similar chromatogram in higher mz_2847; similar chromatogram in higher mz_3443; similar chromatogram in higher mz_3630; similar chromatogram in higher mz_3752; similar chromatogram in higher mz_3760; similar chromatogram in higher mz_3766; similar chromatogram in higher mz_3780; similar chromatogram in higher mz_3887; similar chromatogram in higher mz_3892; similar chromatogram in higher mz_3539; similar chromatogram in higher mz_2710; similar chromatogram in higher mz_2690,0.389,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,280.06,180920_Std_4uMStdMix4InMatrix_1,92.69666:84020 93.70001:0 94.70337:95906,,64074,165912,30008,112205,6599,49094,53917,89972,154694,6618,85074,78186,57327,69606,97559,22317,140434,4064,37955,54481,75207,30936,16176,33420,46573,87230,69924,42457,130561,26594,51277,82366,56557,69509,20582,60615,79674,35138,58628,111031,3237,82730,12393,74888,89836,22297,60791,75389,57409,89507,53176,87664,66411,105980,103495,12683,20981,67199,60975,65230,119016,14414,35424,48684,11207,35164,5865,5767,99687,106530,66148,80155,101405,30884,16584,79489,95686,132675,54645,81268,84120,85370,63910,979,39023,12882,67157,106698,2327,113810,40546,96418,55354,448,90569,74847,38429,49581,78129,9450,46092,44193,71103,65789,82891,84806,29353,136372,242,94917,75914,11275,21054,60941,85964,107282,62105,98589,59129,92572,0,0,180657,61734,153678,12257
2,1.399,92.88053,Unknown,[M-H]-,similar chromatogram in higher mz_3785; similar chromatogram in higher mz_3482; similar chromatogram in higher mz_3455; similar chromatogram in higher mz_3091; similar chromatogram in higher mz_3607; similar chromatogram in higher mz_3493; similar chromatogram in higher mz_3309; similar chromatogram in higher mz_3350,0.913,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,565.67,180920_Poo_Day1Poo_DDAneg50,92.88053:383896 93.88388:0 94.88724:382773,,282620,230200,396720,466981,19297,296354,344563,311383,479578,79226,313459,345341,357459,975263,1259905,1370615,366111,21730,364413,189998,234495,215861,68384,239023,351432,287681,314265,275223,215026,266003,265276,459458,356436,331087,66239,214168,331424,302866,330926,245743,43670,260391,247941,272862,241809,323999,263433,173478,187320,242280,352520,249685,303192,205174,218054,48826,250491,300147,296869,235944,319471,41960,272849,270317,328460,318086,268199,23890,306335,218673,316292,220936,333914,257998,234162,320160,363706,442968,167709,333413,244170,419801,290185,20700,336707,152898,358060,239167,9598,325620,360655,285570,199715,10373,338805,307434,255349,367301,283804,138683,429573,313315,200685,310665,315176,303770,100942,313956,6237,292039,234892,41474,325905,281490,319082,251570,268815,376884,266921,401735,0,428,353914,253442,403592,242615
3,1.401,92.9268,Unknown,[M-H]-,similar chromatogram in higher mz_31; similar chromatogram in higher mz_150; similar chromatogram in higher mz_152; similar chromatogram in higher mz_395; similar chromatogram in higher mz_404; similar chromatogram in higher mz_2629; similar chromatogram in higher mz_3020; similar chromatogram in higher mz_2643,1,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,6311.41,180920_Poo_Day1Poo_DDAneg20,92.92683:45566312 93.93018:0 94.93354:57583684,53.24703:1700 54.722:1533 55.16833:1555 55.30984:2182 59.80585:1499 63.6084:1848 84.89642:1546 91.3094:1628 92.92686:168602 92.99448:5155,9138667,171842608,178696992,350737472,18744958,168053952,175724832,179986864,359381120,63602208,221351984,231038016,235667952,182497088,199203424,176556768,394131744,23687196,165545104,169204480,181551328,177037728,74780072,167340064,388118688,182603104,183061376,266317600,186243216,203600368,196942976,333831232,203709952,216157424,52031504,171321056,205915136,203915248,205156336,172314528,43715796,179159584,161275184,184879392,173746560,194690592,185511088,282586592,154818256,177430512,186609456,170475168,286737600,166893536,174507264,46128672,188722816,187306928,199071824,5753938,187425696,32465636,185567152,184674592,183354192,187216752,178975440,24682362,203841952,170809696,201930928,173120816,191512976,170526192,174972592,177037792,225260000,201754560,154304224,189980240,170876288,205423520,178884656,16140141,178605648,112599800,181560736,169282640,11044477,191831120,197386368,166784576,174034368,258995,211530352,201546816,178003280,184472944,201637200,116028432,201116896,211725168,168307632,195577408,199086400,188693344,107083672,211043520,8231010,196652208,172074592,90818560,209248240,165823920,207819280,171183312,193877888,186846416,193944864,319342272,381924,303187,261464720,160546592,264469792,162572848
4,0.769,92.92683,Unknown,[M-H]-,,0.738,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,null,null,null,null,null,null,null,12.67,180920_Poo_Day1Poo_DDAneg20,92.92692:172563 93.93027:0 94.93363:124409,59.66644:1580 59.82871:1479 88.32729:1569 92.02417:1943 92.9269:19295 92.99457:24185,431738,2608723,1940725,234154,54615,1898223,2501948,1920349,182853,154830,1258252,2929410,2795421,858794,772083,1394476,105260,272586,1537500,3142581,2528054,875564,121468,1945023,399387,2824457,2288489,664564,2357604,2605302,2976832,871883,2301603,2394046,38692,1952997,113627,1172323,2130507,1257314,408274,2984399,2152946,3511442,1839751,1930918,2333878,349080,2833618,1955732,702766,3060381,598105,3314072,2273765,199262,1385288,2134491,2854688,156445,1551814,146456,2220912,2457574,2946266,2112786,2589459,105773,1797302,2617890,2305704,693723,1890950,2144362,298124,3751354,2062016,2102474,163207,1845546,3049451,2006894,3801453,161990,3539329,281548,1787400,2135930,60189,417626,2660032,1517128,1953076,171367,2770144,2530291,2969724,2786322,1714150,263306,2319382,2909643,2140780,3033752,2744083,3011940,188738,1915025,60539,1152903,2011375,669197,2100781,2792494,2206521,2227916,2421109,2707386,2860140,72327,254118,1923240,119741,1934280,71425,2394898
